district_code,district_name,available_beds
09771,"Aichach-Friedberg, Landkreis",73.3
09772,"Augsburg, Landkreis",84.0
09773,"Dillingen an der Donau, Landkreis",113.2
09774,"Günzburg, Landkreis",91.6
09775,"Neu-Ulm, Landkreis",83.1
09776,"Lindau (Bodensee), Landkreis",154.7
09777,"Ostallgäu, Landkreis",90.5
09778,"Unterallgäu, Landkreis",101.2
09779,"Donau-Ries, Landkreis",82.4
09780,"Oberallgäu, Landkreis",93.5
10041,"Regionalverband Saarbrücken, Landkreis",125.7
10042,"Merzig-Wadern, Landkreis",154.5
10043,"Neunkirchen, Landkreis",138.6
10044,"Saarlouis, Landkreis",109.0
10045,Saarpfalz-Kreis,120.2
10046,"Sankt Wendel, Landkreis",123.9
11000,"Berlin, kreisfreie Stadt",98.9
12051,"Brandenburg an der Havel, kreisfreie Stadt",106.0
12052,"Cottbus, kreisfreie Stadt",129.0
12053,"Frankfurt (Oder), kreisfreie Stadt",155.3
12054,"Potsdam, kreisfreie Stadt",91.4
12060,"Barnim, Landkreis",146.0
12061,"Dahme-Spreewald, Landkreis",92.2
12062,"Elbe-Elster, Landkreis",96.6
12063,"Havelland, Landkreis",88.5
12064,"Märkisch-Oderland, Landkreis",116.2
12065,"Oberhavel, Landkreis",111.3
12066,"Oberspreewald-Lausitz, Landkreis",119.6
12067,"Oder-Spree, Landkreis",105.7
12068,"Ostprignitz-Ruppin, Landkreis",122.6
12069,"Potsdam-Mittelmark, Landkreis",104.5
12070,"Prignitz, Landkreis",149.8
12071,"Spree-Neiße, Landkreis",113.3
12072,"Teltow-Fläming, Landkreis",127.1
12073,"Uckermark, Landkreis",108.0
13003,"Rostock, kreisfreie Stadt",122.9
13004,"Schwerin, kreisfreie Stadt",172.8
13071,"Mecklenburgische Seenplatte, Landkreis",120.3
13072,"Rostock, Landkreis",145.8
13073,"Vorpommern-Rügen, Landkreis",136.3
13074,"Nordwestmecklenburg, Landkreis",128.0
13075,"Vorpommern-Greifswald, Landkreis",127.3
13076,"Ludwigslust-Parchim, Landkreis",122.7
14511,"Chemnitz, kreisfreie Stadt",138.9
14521,Erzgebirgskreis,119.2
14522,"Mittelsachsen, Landkreis",127.1
14523,Vogtlandkreis,145.4
14524,"Zwickau, Landkreis",152.8
14612,"Dresden, kreisfreie Stadt",112.0
14625,"Bautzen, Landkreis",119.1
14626,"Görlitz, Landkreis",147.4
14627,"Meißen, Landkreis",118.1
14628,"Sächsische Schweiz-Osterzgebirge, Landkreis",137.7
14713,"Leipzig, kreisfreie Stadt",119.5
14729,"Leipzig, Landkreis",123.0
14730,"Nordsachsen, Landkreis",128.3
15001,"Dessau-Roßlau, kreisfreie Stadt",158.2
15002,"Halle (Saale), kreisfreie Stadt",133.6
15003,"Magdeburg, kreisfreie Stadt",131.5
15081,Altmarkkreis Salzwedel,124.8
15082,"Anhalt-Bitterfeld, Landkreis",126.1
15083,"Börde, Landkreis",130.6
15084,Burgenlandkreis,151.4
15085,"Harz, Landkreis",176.7
15086,"Jerichower Land, Landkreis",171.3
