district_code,district_name,total_population,personnel,personnel_per_1000
05370,"Heinsberg, Landkreis",263681.0,3521.0,13.35
05374,Oberbergischer Kreis,274057.0,3521.0,12.85
05378,Rheinisch-Bergischer Kreis,284273.0,2753.0,9.68
05382,Rhein-Sieg-Kreis,605441.0,5180.0,8.56
05512,"Bottrop, kreisfreie Stadt",118535.0,1614.0,13.62
05513,"Gelsenkirchen, kreisfreie Stadt",267930.0,2441.0,9.11
05515,"Münster, kreisfreie Stadt",308258.0,3054.0,9.91
05554,"Borken, Landkreis",380796.0,4628.0,12.15
05558,"Coesfeld, Landkreis",227859.0,2663.0,11.69
05562,"Recklinghausen, Landkreis",621305.0,7368.0,11.86
05566,"Steinfurt, Landkreis",451712.0,5129.0,11.35
05570,"Warendorf, Landkreis",282639.0,3478.0,12.31
05711,"Bielefeld, kreisfreie Stadt",331605.0,3052.0,9.2
05754,"Gütersloh, Landkreis",363982.0,3084.0,8.47
05758,"Herford, Landkreis",254404.0,2758.0,10.84
05762,"Höxter, Landkreis",139252.0,1700.0,12.21
05766,"Lippe, Landkreis",347149.0,3734.0,10.76
05770,"Minden-Lübbecke, Landkreis",320557.0,3405.0,10.62
05774,"Paderborn, Landkreis",315912.0,3063.0,9.7
05911,"Bochum, kreisfreie Stadt",358676.0,3277.0,9.14
05913,"Dortmund, kreisfreie Stadt",603462.0,5388.0,8.93
05914,"Hagen, kreisfreie Stadt",190384.0,1969.0,10.34
05915,"Hamm, kreisfreie Stadt",179968.0,1923.0,10.69
05916,"Herne, kreisfreie Stadt",155851.0,1855.0,11.9
05954,Ennepe-Ruhr-Kreis,314167.0,3403.0,10.83
05958,Hochsauerlandkreis,260843.0,3030.0,11.62
05962,Märkischer Kreis,408046.0,4455.0,10.92
05966,"Olpe, Landkreis",132346.0,1702.0,12.86
05970,"Siegen-Wittgenstein, Landkreis",274074.0,2633.0,9.61
05974,"Soest, Landkreis",300297.0,3362.0,11.2
05978,"Unna, Landkreis",393784.0,4300.0,10.92
06411,"Darmstadt, kreisfreie Stadt",167029.0,1229.0,7.36
06412,"Frankfurt am Main, kreisfreie Stadt",756021.0,4110.0,5.44
06413,"Offenbach am Main, kreisfreie Stadt",132746.0,758.0,5.71
06414,"Wiesbaden, kreisfreie Stadt",288850.0,2107.0,7.29
06431,"Bergstraße, Landkreis",274169.0,2806.0,10.23
06432,"Darmstadt-Dieburg, Landkreis",302021.0,1865.0,6.18
06433,"Groß-Gerau, Landkreis",268310.0,1875.0,6.99
06434,Hochtaunuskreis,241664.0,2043.0,8.45
06435,Main-Kinzig-Kreis,420914.0,3998.0,9.5
06436,Main-Taunus-Kreis,238775.0,1289.0,5.4
06437,Odenwaldkreis,93846.0,1225.0,13.05
06438,"Offenbach, Landkreis",358022.0,2387.0,6.67
06439,Rheingau-Taunus-Kreis,185651.0,1509.0,8.13
06440,Wetteraukreis,311593.0,3376.0,10.83
