district_code,district_name,total_population,age_0_20_pct,age_21_40_pct,age_41_60_pct,age_61_75_pct,age_75_plus_pct
09573,"Fürth, Landkreis",117719.0,18.9,20.98,27.79,20.23,12.1
09574,"Nürnberger Land, Landkreis",168813.0,18.82,21.08,28.09,20.36,11.65
09575,"Neustadt an der Aisch-Bad Windsheim, Landkreis",101043.0,19.2,22.04,27.43,21.17,10.16
09576,"Roth, Landkreis",128632.0,19.14,22.02,27.55,20.33,10.96
09577,"Weißenburg-Gunzenhausen, Landkreis",94695.0,19.2,22.71,26.06,21.21,10.82
09661,"Aschaffenburg, kreisfreie Stadt",73091.0,17.92,26.18,26.44,18.85,10.61
09662,"Schweinfurt, kreisfreie Stadt",54481.0,18.94,25.83,24.0,18.91,12.32
09663,"Würzburg, kreisfreie Stadt",133258.0,15.0,36.21,22.06,15.92,10.8
09671,"Aschaffenburg, Landkreis",170945.0,18.56,21.55,27.52,21.31,11.06
09672,"Bad Kissingen, Landkreis",103489.0,17.88,20.89,25.87,22.65,12.71
09673,"Rhön-Grabfeld, Landkreis",79375.0,18.78,21.68,26.18,22.42,10.94
09674,"Haßberge, Landkreis",83869.0,18.82,22.02,26.73,22.27,10.16
09675,"Kitzingen, Landkreis",91287.0,19.16,22.9,27.29,20.57,10.07
09676,"Miltenberg, Landkreis",127547.0,18.88,22.03,27.38,21.05,10.67
09677,"Main-Spessart, Landkreis",125282.0,17.84,21.21,26.74,22.59,11.62
09678,"Schweinfurt, Landkreis",113977.0,19.04,21.92,26.29,21.82,10.92
09679,"Würzburg, Landkreis",162216.0,19.38,21.82,26.73,21.33,10.74
09761,"Augsburg, kreisfreie Stadt",301105.0,17.79,30.5,25.74,15.92,10.05
09762,"Kaufbeuren, kreisfreie Stadt",46193.0,19.48,24.44,25.29,19.22,11.57
09763,"Kempten (Allgäu), kreisfreie Stadt",67645.0,18.26,27.56,25.22,17.18,11.78
