district_code,district_name,total_population,available_beds,beds_per_1000
09473,"Coburg, Landkreis",84468.0,1153.0,13.65
09474,"Forchheim, Landkreis",116184.0,1205.0,10.37
09475,"Hof, Landkreis",92191.0,1641.0,17.8
09476,"Kronach, Landkreis",64545.0,923.0,14.3
09477,"Kulmbach, Landkreis",71518.0,1125.0,15.73
09478,"Lichtenfels, Landkreis",67379.0,1106.0,16.41
09479,"Wunsiedel im Fichtelgebirge, Landkreis",70549.0,1094.0,15.51
09561,"Ansbach, kreisfreie Stadt",40742.0,707.0,17.35
09562,"Erlangen, kreisfreie Stadt",115928.0,1228.0,10.59
09563,"Fürth, kreisfreie Stadt",132036.0,1508.0,11.42
09564,"Nürnberg, kreisfreie Stadt",529508.0,6095.0,11.51
09565,"Schwabach, kreisfreie Stadt",40835.0,506.0,12.39
09571,"Ansbach, Landkreis",187633.0,2107.0,11.23
09572,"Erlangen-Höchstadt, Landkreis",138325.0,1182.0,8.55
09573,"Fürth, Landkreis",117719.0,1456.0,12.37
09574,"Nürnberger Land, Landkreis",168813.0,2062.0,12.21
09575,"Neustadt an der Aisch-Bad Windsheim, Landkreis",101043.0,1257.0,12.44
09576,"Roth, Landkreis",128632.0,1286.0,10.0
09577,"Weißenburg-Gunzenhausen, Landkreis",94695.0,1094.0,11.55
09661,"Aschaffenburg, kreisfreie Stadt",73091.0,739.0,10.11
09662,"Schweinfurt, kreisfreie Stadt",54481.0,1132.0,20.78
09663,"Würzburg, kreisfreie Stadt",133258.0,1995.0,14.97
09671,"Aschaffenburg, Landkreis",170945.0,1642.0,9.61
09672,"Bad Kissingen, Landkreis",103489.0,1565.0,15.12
09673,"Rhön-Grabfeld, Landkreis",79375.0,1048.0,13.2
09674,"Haßberge, Landkreis",83869.0,744.0,8.87
09675,"Kitzingen, Landkreis",91287.0,1159.0,12.7
09676,"Miltenberg, Landkreis",127547.0,1597.0,12.52
09677,"Main-Spessart, Landkreis",125282.0,1621.0,12.94
09678,"Schweinfurt, Landkreis",113977.0,1566.0,13.74
09679,"Würzburg, Landkreis",162216.0,1480.0,9.12
09761,"Augsburg, kreisfreie Stadt",301105.0,3161.0,10.5
09762,"Kaufbeuren, kreisfreie Stadt",46193.0,573.0,12.4
09763,"Kempten (Allgäu), kreisfreie Stadt",67645.0,661.0,9.77
09764,"Memmingen, kreisfreie Stadt",44192.0,530.0,11.99
09771,"Aichach-Friedberg, Landkreis",136803.0,1045.0,7.64
09772,"Augsburg, Landkreis",262811.0,2171.0,8.26
09773,"Dillingen an der Donau, Landkreis",98899.0,1170.0,11.83
09774,"Günzburg, Landkreis",129846.0,1255.0,9.67
09775,"Neu-Ulm, Landkreis",183595.0,1718.0,9.36
09776,"Lindau (Bodensee), Landkreis",82411.0,997.0,12.1
09777,"Ostallgäu, Landkreis",142047.0,1075.0,7.57
09778,"Unterallgäu, Landkreis",147255.0,1589.0,10.79
09779,"Donau-Ries, Landkreis",135098.0,1134.0,8.39
09780,"Oberallgäu, Landkreis",155413.0,1291.0,8.31
10041,"Regionalverband Saarbrücken, Landkreis",333149.0,4985.0,14.96
10042,"Merzig-Wadern, Landkreis",108779.0,1831.0,16.83
10043,"Neunkirchen, Landkreis",133179.0,1968.0,14.78
10044,"Saarlouis, Landkreis",205129.0,2374.0,11.57
10045,Saarpfalz-Kreis,144092.0,2202.0,15.28
10046,"Sankt Wendel, Landkreis",87813.0,1278.0,14.55
11000,"Berlin, kreisfreie Stadt",3685265.0,32879.0,8.92
12051,"Brandenburg an der Havel, kreisfreie Stadt",74113.0,1285.0,17.34
12052,"Cottbus, kreisfreie Stadt",95123.0,1452.0,15.26
12053,"Frankfurt (Oder), kreisfreie Stadt",57107.0,991.0,17.35
12054,"Potsdam, kreisfreie Stadt",184754.0,1943.0,10.52
12060,"Barnim, Landkreis",194169.0,2830.0,14.57
12061,"Dahme-Spreewald, Landkreis",178793.0,1875.0,10.49
12062,"Elbe-Elster, Landkreis",97967.0,1279.0,13.06
12063,"Havelland, Landkreis",170834.0,1676.0,9.81
12064,"Märkisch-Oderland, Landkreis",197817.0,2184.0,11.04
12065,"Oberhavel, Landkreis",217690.0,2499.0,11.48
12066,"Oberspreewald-Lausitz, Landkreis",107793.0,1753.0,16.26
12067,"Oder-Spree, Landkreis",179817.0,2349.0,13.06
12068,"Ostprignitz-Ruppin, Landkreis",99152.0,1318.0,13.29
12069,"Potsdam-Mittelmark, Landkreis",221268.0,2337.0,10.56
12070,"Prignitz, Landkreis",75595.0,1422.0,18.81
